year,Value,Type,,,,,,,,,,,,,,,,
1960,88.1,Generation,,,,,,,,,,,,,,,,
1960,,Composting*,,,,,,,,,,,,,,,,
1960,5.6,Recycling,,,,,,,,,,,,,,,,
1960,0,Combustion with energy recovery,,,,,,,,,,,,,,,,
1960,82.5,Landfilling and other disposal,,,,,,,,,,,,,,,,
1970,121.1,Generation,,,,,,,,,,,,,,,,
1970,,Composting*,,,,,,,,,,,,,,,,
1970,8,Recycling,,,,,,,,,,,,,,,,
1970,0.5,Combustion with energy recovery,,,,,,,,,,,,,,,,
1970,112.6,Landfilling and other disposal,,,,,,,,,,,,,,,,
1980,151.6,Generation,,,,,,,,,,,,,,,,
1980,,Composting*,,,,,,,,,,,,,,,,
1980,14.5,Recycling,,,,,,,,,,,,,,,,
1980,2.8,Combustion with energy recovery,,,,,,,,,,,,,,,,
1980,134.3,Landfilling and other disposal,,,,,,,,,,,,,,,,
1990,208.3,Generation,,,,,,,,,,,,,,,,
1990,4.2,Composting*,,,,,,,,,,,,,,,,
1990,29,Recycling,,,,,,,,,,,,,,,,
1990,29.8,Combustion with energy recovery,,,,,,,,,,,,,,,,
1990,145.3,Landfilling and other disposal,,,,,,,,,,,,,,,,
2000,243.5,Generation,,,,,,,,,,,,,,,,
2000,16.5,Composting*,,,,,,,,,,,,,,,,
2000,53,Recycling,,,,,,,,,,,,,,,,
2000,33.7,Combustion with energy recovery,,,,,,,,,,,,,,,,
2000,140.3,Landfilling and other disposal,,,,,,,,,,,,,,,,
2005,253.7,Generation,,,,,,,,,,,,,,,,
2005,20.6,Composting*,,,,,,,,,,,,,,,,
2005,59.2,Recycling,,,,,,,,,,,,,,,,
2005,31.7,Combustion with energy recovery,,,,,,,,,,,,,,,,
2005,142.2,Landfilling and other disposal,,,,,,,,,,,,,,,,
2010,251.1,Generation,,,,,,,,,,,,,,,,
2010,20.2,Composting*,,,,,,,,,,,,,,,,
2010,65.3,Recycling,,,,,,,,,,,,,,,,
2010,29.3,Combustion with energy recovery,,,,,,,,,,,,,,,,
2010,136.3,Landfilling and other disposal,,,,,,,,,,,,,,,,
2015,262.1,Generation,,,,,,,,,,,,,,,,
2015,23.4,Composting*,,,,,,,,,,,,,,,,
2015,67.6,Recycling,,,,,,,,,,,,,,,,
2015,33.5,Combustion with energy recovery,,,,,,,,,,,,,,,,
2015,137.6,Landfilling and other disposal,,,,,,,,,,,,,,,,
2016,266.8,Generation,,,,,,,,,,,,,,,,
2016,25.1,Composting*,,,,,,,,,,,,,,,,
2016,68.6,Recycling,,,,,,,,,,,,,,,,
2016,33.9,Combustion with energy recovery,,,,,,,,,,,,,,,,
2016,139.2,Landfilling and other disposal,,,,,,,,,,,,,,,,
2017,267.8,Generation,,,,,,,,,,,,,,,,
2017,27,Composting*,,,,,,,,,,,,,,,,
2017,67.2,Recycling,,,,,,,,,,,,,,,,
2017,34,Combustion with energy recovery,,,,,,,,,,,,,,,,
2017,139.6,Landfilling and other disposal,,,,,,,,,,,,,,,,
